Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL
B2B HVAC Industri,AG - MM2100 Cibitung,"service ac mm2100",Phrase,4500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-mm2100.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-mm2100&utm_term={keyword}
B2B HVAC Industri,AG - MM2100 Cibitung,[service ac mm2100],Exact,5500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-mm2100.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-mm2100&utm_term={keyword}
B2B HVAC Industri,AG - MM2100 Cibitung,"vendor hvac mm2100",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-mm2100.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-mm2100&utm_term={keyword}
B2B HVAC Industri,AG - MM2100 Cibitung,"maintenance chiller cibitung",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-mm2100.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-mm2100&utm_term={keyword}
B2B HVAC Industri,AG - MM2100 Cibitung,"service ahu pabrik cikarang barat",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-mm2100.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-mm2100&utm_term={keyword}
B2B HVAC Industri,AG - MM2100 Cibitung,"kontrak service ac mm2100",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-mm2100.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-mm2100&utm_term={keyword}
B2B HVAC Industri,AG - Jababeka Cikarang,"service ac jababeka",Phrase,4500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-jababeka.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-jababeka&utm_term={keyword}
B2B HVAC Industri,AG - Jababeka Cikarang,[service ac jababeka],Exact,5500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-jababeka.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-jababeka&utm_term={keyword}
B2B HVAC Industri,AG - Jababeka Cikarang,"vendor hvac kawasan jababeka",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-jababeka.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-jababeka&utm_term={keyword}
B2B HVAC Industri,AG - Jababeka Cikarang,"maintenance cleanroom cikarang",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-jababeka.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-jababeka&utm_term={keyword}
B2B HVAC Industri,AG - Jababeka Cikarang,"service chiller jababeka",Phrase,6000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-jababeka.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-jababeka&utm_term={keyword}
B2B HVAC Industri,AG - Jababeka Cikarang,"ganti hepa filter ahu pabrik",Phrase,5500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-jababeka.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-jababeka&utm_term={keyword}
B2B HVAC Industri,AG - KIIC Karawang Barat,"service ac kiic",Phrase,4500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-kiic.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-kiic&utm_term={keyword}
B2B HVAC Industri,AG - KIIC Karawang Barat,[service ac kiic],Exact,5500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-kiic.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-kiic&utm_term={keyword}
B2B HVAC Industri,AG - KIIC Karawang Barat,"vendor hvac karawang",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-kiic.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-kiic&utm_term={keyword}
B2B HVAC Industri,AG - KIIC Karawang Barat,"overhaul chiller karawang barat",Phrase,7000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-kiic.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-kiic&utm_term={keyword}
B2B HVAC Industri,AG - KIIC Karawang Barat,"kontrak maintenance ac pabrik karawang",Phrase,6500,https://jasa-service-ac.tech1solusi.workers.dev/hvac-kiic.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-kiic&utm_term={keyword}
B2B HVAC Industri,AG - KIIC Karawang Barat,"service ac industri kiic",Phrase,5000,https://jasa-service-ac.tech1solusi.workers.dev/hvac-kiic.html?utm_source=google&utm_medium=cpc&utm_campaign=b2b-kiic&utm_term={keyword}
