Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL
B2C Service AC Rumah,AG - Cuci AC Panggilan,"jasa cuci ac bekasi",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Cuci AC Panggilan,[jasa cuci ac bekasi],Exact,4000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Cuci AC Panggilan,"cuci ac depok terdekat",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Cuci AC Panggilan,[cuci ac depok],Exact,4000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Cuci AC Panggilan,"cuci ac rumah karawang",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - Cuci AC Panggilan,"biaya cuci ac rumah",Phrase,3000,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - AC Bocor & Tidak Dingin,"service ac bocor air",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - AC Bocor & Tidak Dingin,"service ac tidak dingin bekasi",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - AC Bocor & Tidak Dingin,"service ac mati depok",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - AC Bocor & Tidak Dingin,"tukang service ac terdekat panggil",Phrase,3500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - AC Bocor & Tidak Dingin,[service ac bekasi],Exact,4500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
B2C Service AC Rumah,AG - AC Bocor & Tidak Dingin,[service ac depok],Exact,4500,https://jasa-service-ac.tech1solusi.workers.dev/b2c.html?utm_source=google&utm_medium=cpc&utm_campaign=b2c-residential&utm_term={keyword}
